stock_code,ticker,report_year,report_type,statement_type,item_name,item_value
601318,601318.SH,2025,annual,cash_flow,支付利息、手续费及佣金的现金,-171928
601318,601318.SH,2025,annual,cash_flow,支付的其他与筹资活动有关的现金,-8078
601318,601318.SH,2025,annual,cash_flow,支付的其他与经营活动有关的现金,-594
601318,601318.SH,2025,annual,cash_flow,支付的各项税费,-57753
601318,601318.SH,2025,annual,cash_flow,支付签发保险合同赔款的现金,-454777
601318,601318.SH,2025,annual,cash_flow,支付给职工以及为职工支付的现金,-90203
601318,601318.SH,2025,annual,cash_flow,收到分入再保险合同的现金净额,226
601318,601318.SH,2025,annual,cash_flow,收到的其他与投资活动有关的现金,7431
601318,601318.SH,2025,annual,cash_flow,收到的其他与筹资活动有关的现金,791
601318,601318.SH,2025,annual,cash_flow,收到的其他与经营活动有关的现金,-593
601318,601318.SH,2025,annual,cash_flow,收到签发保险合同保费取得的现金,1010736
601318,601318.SH,2025,annual,cash_flow,收取利息、手续费及佣金取得的现金,251124
601318,601318.SH,2025,annual,cash_flow,收回投资收到的现金,3221844
601318,601318.SH,2025,annual,cash_flow,收购子公司支付的现金净额,-949
601318,601318.SH,2025,annual,cash_flow,无形资产,7
601318,601318.SH,2025,annual,cash_flow,未分配利润,125140
601318,601318.SH,2025,annual,cash_flow,盈余公积,12164
601318,601318.SH,2025,annual,cash_flow,短期借款,18215
601318,601318.SH,2025,annual,cash_flow,租赁负债–,88
601318,601318.SH,2025,annual,cash_flow,筹资活动产生的现金流量净额,75388
601318,601318.SH,2025,annual,cash_flow,筹资活动现金流入小计,1283730
601318,601318.SH,2025,annual,cash_flow,筹资活动现金流出小计,-1208342
601318,601318.SH,2025,annual,cash_flow,经营活动产生的现金流量净额,-591
601318,601318.SH,2025,annual,cash_flow,经营活动现金流入小计,1852105
601318,601318.SH,2025,annual,cash_flow,经营活动现金流出小计,-1263852
601318,601318.SH,2025,annual,cash_flow,股东权益合计,278521
601318,601318.SH,2025,annual,cash_flow,融资租赁业务借款净增加额,30150
601318,601318.SH,2025,annual,cash_flow,融资租赁业务长期应收款净增加额,-34038
601318,601318.SH,2025,annual,cash_flow,衍生金融负债,16271
601318,601318.SH,2025,annual,cash_flow,负债合计,72756
601318,601318.SH,2025,annual,cash_flow,负债和股东权益总计,351277
601318,601318.SH,2025,annual,cash_flow,货币资金,835
601318,601318.SH,2025,annual,cash_flow,购建固定资产、无形资产和其他长期资产支付的现金,-8355
601318,601318.SH,2025,annual,cash_flow,资产总计,351277
601318,601318.SH,2025,annual,cash_flow,资本公积,122491
601318,601318.SH,2025,annual,cash_flow,银行业务及证券业务为交易目的持有的金融资产净减少额,9175
601318,601318.SH,2025,annual,cash_flow,银行业务及证券业务为交易目的持有的金融资产净增加额–,-78582
601318,601318.SH,2025,annual,cash_flow,银行业务及证券业务买入返售资金净减少额–,4968
601318,601318.SH,2025,annual,cash_flow,银行业务及证券业务买入返售资金净增加额,-1966
601318,601318.SH,2025,annual,cash_flow,银行业务及证券业务卖出回购资金净减少额,-60525
601318,601318.SH,2025,annual,cash_flow,银行业务及证券业务卖出回购资金净增加额–,74541
601318,601318.SH,2025,annual,cash_flow,银行业务及证券业务拆借资金净减少额,-63194
601318,601318.SH,2025,annual,cash_flow,长期服务计划购买股份支付的现金,-3875
601318,601318.SH,2025,annual,cash_flow,长期股权投资,261071
601318,601318.SH,2025,annual,income_statement,一净利润–––––,134778
601318,601318.SH,2025,annual,income_statement,七收购子公司–,5506
601318,601318.SH,2025,annual,income_statement,不能转损益的保险合同金融变动,-34412
601318,601318.SH,2025,annual,income_statement,业务及管理费,-511
601318,601318.SH,2025,annual,income_statement,九与少数股东的权益性交易–,255
601318,601318.SH,2025,annual,income_statement,九少数股东增资–––––,33
601318,601318.SH,2025,annual,income_statement,五其他综合收益结转留存收益–––,1566
601318,601318.SH,2025,annual,income_statement,以摊余成本计量的金融资产终止确认产生的损益,1473
601318,601318.SH,2025,annual,income_statement,保险服务收入,559502
601318,601318.SH,2025,annual,income_statement,保险服务费用,-453268
601318,601318.SH,2025,annual,income_statement,信用减值损失,-85582
601318,601318.SH,2025,annual,income_statement,债务工具信用减值准备,2360
601318,601318.SH,2025,annual,income_statement,债务工具公允价值变动,240577
601318,601318.SH,2025,annual,income_statement,八与少数股东的权益性交易–,5874
601318,601318.SH,2025,annual,income_statement,八处置子公司–––––,-17753
601318,601318.SH,2025,annual,income_statement,公允价值变动损益,66504
601318,601318.SH,2025,annual,income_statement,六支付给少数股东的股利–––––,-9310
601318,601318.SH,2025,annual,income_statement,其中：对联营企业和合营企业的投资损益,-4804
601318,601318.SH,2025,annual,income_statement,其他业务成本,-512
601318,601318.SH,2025,annual,income_statement,其他业务收入,77782
601318,601318.SH,2025,annual,income_statement,其他收益,1803
601318,601318.SH,2025,annual,income_statement,其他权益工具–––––,39816
601318,601318.SH,2025,annual,income_statement,其他权益工具投资公允价值变动,67947
601318,601318.SH,2025,annual,income_statement,其他综合收益合计,-38785
601318,601318.SH,2025,annual,income_statement,其他资产减值损失,-7177
601318,601318.SH,2025,annual,income_statement,减：分出再保险财务损益,336
601318,601318.SH,2025,annual,income_statement,减：所得税费用,-27289
601318,601318.SH,2025,annual,income_statement,减：摊回保险服务费用,11032
601318,601318.SH,2025,annual,income_statement,减：营业外支出,-2797
601318,601318.SH,2025,annual,income_statement,分出保费的分摊,-16098
601318,601318.SH,2025,annual,income_statement,加：营业外收入,691
601318,601318.SH,2025,annual,income_statement,十三其他–,390
601318,601318.SH,2025,annual,income_statement,十五其他–,440
601318,601318.SH,2025,annual,income_statement,十少数股东增资–––––,540
601318,601318.SH,2025,annual,income_statement,可转损益的保险合同金融变动,86766
